 0  0  456.6393
 1    0012.0   469.0907
 2    0024.0   493.8409
 3    0036.0   799.2044
 4    0048.0   521.3681
 5    0061.0   516.2716
 6    0073.0   707.6503
 7    0085.0   546.5150
 8    0097.0   537.5427
 9    0109.0   642.7689
 10   0121.0   554.0225
 11   0134.0   531.2865
 12   0146.0   598.4872
 13   0158.0   564.0934
 14   0170.0   531.4391
 15   0182.0   566.7790
 16   0219.0   545.2637
 17   0255.0   527.3497
 18   0292.0   517.4618
 19   0328.0   506.2617
 20   0365.0   500.0055
 21   0401.0   493.7493
 22   0438.0   488.5612
 23   0474.0   484.8990
 24   0511.0   481.0233
 25   0547.0   478.3682
 26   0584.0   474.6450
 27   0620.0   472.0815
 28   0657.0   470.7997
 29   0693.0   468.1141
 30   0730.0   465.4591
