  0 0 451.9091 432.4477 413.7340
  0 8 1200   4.7420e+02  4.1373e+02
  1.0000e+00  2.4000e+01  1.1397e+03  4.7420e+02  4.1373e+02
  2.0000e+00  4.5000e+01  1.0527e+03  5.4508e+02  4.1917e+02
  3.0000e+00  7.2000e+01  9.8207e+02  5.9741e+02  4.3403e+02
  4.0000e+00  9.7000e+01  9.1923e+02  6.3525e+02  4.4974e+02
  5.0000e+00  1.2100e+02  8.6003e+02  6.6195e+02  4.6814e+02
  6.0000e+00  1.4600e+02  8.0921e+02  6.7772e+02  4.8759e+02
  7.0000e+00  1.7000e+02  7.6478e+02  6.8746e+02  5.0673e+02
  8.0000e+00  1.9400e+02  7.2663e+02  6.9114e+02  5.2363e+02
  9.0000e+00  2.1900e+02  6.9239e+02  6.8998e+02  5.3821e+02
  1.0000e+01  2.4300e+02  6.6285e+02  6.8395e+02  5.5189e+02
  1.1000e+01  2.6700e+02  6.3636e+02  6.7679e+02  5.6321e+02
  1.2000e+01  2.9200e+02  6.1622e+02  6.6824e+02  5.7230e+02
  1.3000e+01  3.1600e+02  5.9031e+02  6.5725e+02  5.7916e+02
  1.4000e+01  3.4000e+02  5.7349e+02  6.4537e+02  5.8246e+02
  1.5000e+01  3.6500e+02  5.5842e+02  6.3417e+02  5.8600e+02
  1.6000e+01  4.3800e+02  5.2350e+02  5.9634e+02  5.9488e+02
  1.7000e+01  5.1200e+02  4.9952e+02  5.6091e+02  5.7230e+02
  1.8000e+01  5.8600e+02  4.8588e+02  5.3317e+02  5.5535e+02
  1.9000e+01  6.6000e+02  4.7443e+02  5.0797e+02  5.3390e+02
  2.0000e+01  7.3400e+02  4.6833e+02  4.8895e+02  5.1478e+02
  2.1000e+01  8.0800e+02  4.6317e+02  4.7423e+02  4.9561e+02
  2.2000e+01  8.8200e+02  4.5936e+02  4.6344e+02  4.7990e+02
  2.3000e+01  9.5600e+02  4.5813e+02  4.5495e+02  4.6460e+02
  2.4000e+01  1.0300e+03  4.5694e+02  4.4767e+02  4.5340e+02
  2.5000e+01  1.1030e+03  4.5575e+02  4.4416e+02  4.4201e+02
  2.6000e+01  1.1770e+03  4.5572e+02  4.3920e+02  4.3505e+02
  2.7000e+01  1.2510e+03  4.5444e+02  4.3726e+02  4.2933e+02
  2.8000e+01  1.3250e+03  4.5447e+02  4.3641e+02  4.2489e+02
  2.9000e+01  1.3990e+03  4.5447e+02  4.3378e+02  4.2027e+02
  3.0000e+01  1.4720e+03  4.5319e+02  4.3378e+02  4.1813e+02
