 1     0013.0   471.9289
 2     0026.0   471.8984
 3     0039.0   924.9998
 4     0052.0   786.1732
 5     0065.0   523.7485
 6     0078.0   485.5399
 7     0091.0   587.0125
 8     0101.0   716.7751
 9     0117.0   613.8988
 10    0130.0   521.0629
 11    0143.0   533.7889
 12    0156.0   607.3069
 13    0169.0   602.5767
 14    0182.0   548.7123
 15    0195.0   522.4303
 16    0235.0   547.1611
 17    0276.0   537.2375
 18    0317.0   512.3653
 19    0357.0   510.6868
 20    0398.0   506.1396
 21    0438.0   484.6241
 22    0479.0   479.5889
 23    0519.0   474.5840
 24    0560.0   469.2433
 25    0600.0   467.9921
 26    0641.0   464.3604
 27    0682.0   461.7664
 28    0722.0   461.7664
 29    0763.0   459.2944
 30    0803.0   459.3555
