 1     0030.0   595.0692
 2     0060.0   586.0359
 3     0090.0   577.1551
 4     0120.0   568.2438
 5     0150.0   559.5462
 6     0180.0   551.9167
 7     0210.0   544.2872
 8     0240.0   536.8102
 9     0270.0   530.4930
 10    0300.0   524.1758
 11    0330.0   517.9806
 12    0360.0   512.8841
 13    0390.0   506.5058
 14    0420.0   501.4398
 15    0450.0   496.1907
 16    0539.0   483.4647
 17    0629.0   470.9523
 18    0718.0   461.1866
 19    0807.0   453.7707
 20    0896.0   446.1717
 21    0986.0   440.1596
 22    1075.0   435.2767
 23    1164.0   431.5535
 24    1253.0   426.4265
 25    1342.0   423.9545
 26    1432.0   420.3839
 27    1521.0   417.7899
 28    1610.0   416.5997
 29    1699.0   414.1277
 30    1789.0   412.9680
